Keyword,Weight
봄 최애,1.0
최애 템,0.9999944813499242
휴지통,0.7570198949176302
최애,0.7522841341113928
커버 곡,0.609540761017815
노래 끝,0.5874476043480332
노래,0.5622297602808236
오늘,0.5488150488427814
음악,0.5194853485223454
어젯밤,0.48879353200588144
오늘 하루,0.4718846352605665
커버,0.4550562800887847
우지 노래,0.44510641222699465
노래 녹음,0.41819607397197583
디 아이콘,0.4076385718254953
생각,0.40376017975995376
경음악,0.40086979925656036
주말,0.39850456401948353
우지 주말,0.38894221480254504
고민,0.3888401956571297
사진 빅,0.3873387017061287
사진 인,0.3873387017061287
런던 쇼,0.3803344245763471
캐럿,0.3789244935016515
들을까,0.3749468394515748
쉬 어감,0.36731712871234096
사진,0.36175065195082406
계속,0.3462774772157126
같은 곡,0.34347156743429547
게임,0.337214098986896
런던,0.3371979900925974
보이스 라이브,0.335642187101616
이즈 게임,0.329681923771376
계속 녹음,0.327187912624005
특별한 기억,0.3206929969157896
감상 계속,0.3181310807821454
한번,0.3177760928350678
하루 푹,0.3159486112707083
명 이서,0.3103293251897421
며칠 계속,0.3072181616236295
런던 감상,0.306309918078916
아이콘,0.3034606905872034
저녁,0.2987668924050631
지내고,0.293287726179845
공포 게임,0.29327203669199314
같은,0.28962433664234777
글래스턴베리,0.2835959177323621
라이브,0.27449020278258907
같은 느낌,0.271879768402994
강아지 기억,0.2692166773318455
기억,0.26921143929252866
어감,0.2690610412654254
좋아요,0.2680470956147217
특별했고,0.2659106489205444
맞으려나,0.2659106489205444
특별한,0.264683293292851
하루 마무리,0.26124044474459573
하루,0.2590233788204666
이쁜 사진,0.25696731735450323
좋아요 도겸,0.2567657686911658
사진 계정,0.2555210194109603
평범한 일상,0.25439313772505673
어른,0.25379514504015466
멋있어 호시,0.23873664630776575
강아지 강아지,0.23790917744825807
좋은데,0.23528709220252392
좋겠어요 보이스,0.234398201971352
행복한 하루,0.23371557572224813
미안 호시,0.23231174985992403
보이스,0.22955206454673727
좋은 경우,0.2272082267971838
이서,0.22488683627891207
호시,0.22442068884839977
우지,0.22435427014092718
좋다 패션,0.2235759282940792
쿡스 쿱스,0.21975092646113356
힘든데 감기,0.21938613116761024
준비 중이,0.2162817353025289
바쁘게 살,0.2136009558346078
건강하고 아무,0.21337304507806282
간단하게 찌개,0.21240016565392816
시차 적응,0.2094268499905034
좋은 밤,0.20933739137133076
린지 준비,0.20628628561821455
이즈,0.20612294177700696
들어,0.20450758024135357
일상,0.20021468010643007
좋다,0.19895514657481836
목소리 자체,0.19613805093935646
준비,0.19607167186105817
예전 앨범,0.19424464346481404
녹음,0.19337485201077145
좋을 경우,0.1929112187328198
벤치,0.19167889776594965
반 가까이,0.19061429073641797
요 며칠,0.18955124590216815
감기,0.18777516540220549
중간고사 시즌,0.18741955113744732
도 촬영,0.18496287384635254
바쁘게 살기,0.18469165609660698
